Player Id,Name,Current Status,Years Played
keishawnbierria/2560976,"Bierria, Keishawn",Active,
andrewbillings/2555267,"Billings, Andrew",Active,
adambisnowaty/2557834,"Bisnowaty, Adam",Active,
joelbitonio/2543737,"Bitonio, Joel",Active,
blakeblackmar/2563072,"Blackmar, Blake",Active,
justinblackmon/2533038,"Blackmon, Justin",Suspended,
saeedblacknall/2561300,"Blacknall, Saeed",Active,
angeloblackson/2552670,"Blackson, Angelo",Active,
marquiseblair/2562233,"Blair, Marquise",Active,
ronaldblair/2555251,"Blair, Ronald",Active,
christianblake/2561443,"Blake, Christian",Active,
quinblanding/2560977,"Blanding, Quin",Active,
kendallblanton/2562234,"Blanton, Kendall",Active,
khariblasingame/2562869,"Blasingame, Khari",Active,
amanibledsoe/2562859,"Bledsoe, Amani",Active,
davidblough/2563043,"Blough, David",Active,
alfredblue/2543600,"Blue, Alfred",Active,
b.j.blunt/2562817,"Blunt, B.J.",Active,
austinblythe/2555180,"Blythe, Austin",Active,
chrisboard/2561301,"Board, Chris",Active,
c.j.board/2558911,"Board, C.J.",Active,
brieanboddy-calhoun/2556475,"Boddy-Calhoun, Briean",Active,
russellbodine/2543622,"Bodine, Russell",Active,
evanboehm/2555181,"Boehm, Evan",Active,
moritzboehringer/2556261,"Boehringer, Moritz",Active,
ikeboettger/2561303,"Boettger, Ike",Active,
tommybohanon/2540225,"Bohanon, Tommy",Active,
coreybojorquez/2561574,"Bojorquez, Corey",Active,
brandonbolden/2532797,"Bolden, Brandon",Active,
victorbolden/2558912,"Bolden, Victor",Active,
garettbolles/2558014,"Bolles, Garett",Active,
curtisbolton/2562913,"Bolton, Curtis",Active,
devantebond/2555307,"Bond, Devante",Active,
terrellbonds/2563136,"Bonds, Terrell",Active,
reggiebonnafon/2561184,"Bonnafon, Reggie",Active,
jonathanbonner/2563275,"Bonner, Jonathan",Active,
dantebooker/2563290,"Booker, Dante",Active,
devontaebooker/2555223,"Booker, Devontae",Active,
mikeboone/2561099,"Boone, Mike",Active,
coleboozer/2561185,"Boozer, Cole",Active,
breonborders/2559015,"Borders, Breon",Active,
blakebortles/2543477,"Bortles, Blake",Active,
joeybosa/2555249,"Bosa, Joey",Active,
nickbosa/2562629,"Bosa, Nick",Active,
mattbosher/2495124,"Bosher, Matt",Active,
jonbostic/2539978,"Bostic, Jon",Active,
treboston/2543830,"Boston, Tre",Active,
chrisboswell/2550545,"Boswell, Chris",Active,
kendrickbourne/2558914,"Bourne, Kendrick",Active,
a.j.bouye/2541162,"Bouye, A.J.",Active,
lukebowanko/2550150,"Bowanko, Luke",Active,
tashawnbower/2558915,"Bower, Tashawn",Active,
shanebowman/2562997,"Bowman, Shane",Active,
tyusbowser/2558166,"Bowser, Tyus",Active,
dinoboyd/2563106,"Boyd, Dino",Active,
krisboyd/2562630,"Boyd, Kris",Active,
tylerboyd/2555466,"Boyd, Tyler",Active,
milesboykin/2562631,"Boykin, Miles",Active,
jeremyboykins/2559318,"Boykins, Jeremy",Active,
nickboyle/2552402,"Boyle, Nick",Active,
timboyle/2561187,"Boyle, Tim",Active,
bradleybozeman/2559827,"Bozeman, Bradley",Active,
jamesbradberry/2555175,"Bradberry, James",Active,
garrettbradbury/2562632,"Bradbury, Garrett",Active,
benbraden/2559062,"Braden, Ben",Active,
nigelbradham/2532800,"Bradham, Nigel",Active,
hunterbradley/2561156,"Bradley, Hunter",Active,
tombrady/2504211,"Brady, Tom",Active,
tyrebrady/2562237,"Brady, Tyre",Active,
jordanbrailford/2562441,"Brailford, Jordan",Active,
marcelisbranch/2559107,"Branch, Marcelis",Active,
andrebranch/2532801,"Branch, Andre",Active,
calebbrantley/2558007,"Brantley, Caleb",Active,
cameronbrate/2550656,"Brate, Cameron",Active,
benbraunecker/2556478,"Braunecker, Ben",Active,
tylerbray/2540173,"Bray, Tyler",Active,
bashaudbreeland/2543571,"Breeland, Bashaud",Active,
drewbrees/2504775,"Brees, Drew",Active,
mattbreida/2558918,"Breida, Matt",Active,
jakebrendel/2556479,"Brendel, Jake",Active,
k.j.brent/2556383,"Brent, K.J.",Active,
aaronbrewer/2535529,"Brewer, Aaron",Active,
chandlerbrewer/2563302,"Brewer, Chandler",Active,
kentrellbrice/2556480,"Brice, Kentrell",Active,
teddybridgewater/2543465,"Bridgewater, Teddy",Active,
beaubrinkley/2535701,"Brinkley, Beau",Active,
jacobybrissett/2555261,"Brissett, Jacoby",Active,
justinbritt/2550135,"Britt, Justin",Active,
tramainebrock/2507917,"Brock, Tramaine",Active,
michaelbrockers/2533050,"Brockers, Michael",Active,
jaybromley/2543860,"Bromley, Jay",Active,
romellobrooker/2563303,"Brooker, Romello",Active,
brandonbrooks/2534434,"Brooks, Brandon",Active,
natebrooks/2562843,"Brooks, Nate",Active,
terrencebrooks/2543712,"Brooks, Terrence",Active,
tonybrooks-james/2563300,"Brooks-James, Tony",Active,
nickbrossette/2562633,"Brossette, Nick",Active,
kentrellbrothers/2555168,"Brothers, Kentrell",Active,
cortezbroughton/2562823,"Broughton, Cortez",Active,
alexbrown/2562883,"Brown, Alex",Active,
andrewbrown/2560979,"Brown, Andrew",Active,
anthonybrown/2555531,"Brown, Anthony",Active,
antoniobrown/2508061,"Brown, Antonio",Active,
a.j.brown/2562238,"Brown, A.J.",Active,
asantaybrown/2561512,"Brown, Asantay",Active,
chrisbrown/2563291,"Brown, Chris",Active,
codybrown/2562895,"Brown, Cody",Injured reserve,
danielbrown/2553900,"Brown, Daniel",Active,
duanebrown/808,"Brown, Duane",Active,
evanbrown/2561506,"Brown, Evan",Active,
fadolbrown/2558920,"Brown, Fadol",Active,
fredbrown/2559396,"Brown, Fred",Active,
jamonbrown/2552340,"Brown, Jamon",Active,
jaronbrown/2541966,"Brown, Jaron",Active,
jatavisbrown/2556148,"Brown, Jatavis",Active,
jayonbrown/2558005,"Brown, Jayon",Active,
johnbrown/2543847,"Brown, John",Active,
jordanbrown/2562396,"Brown, Jordan",Active,
keenenbrown/2562239,"Brown, Keenen",Active,
kyronbrown/2563184,"Brown, Kyron",Active,
mackbrown/2553867,"Brown, Mack",Active,
malcolmbrown/2552382,"Brown, Malcolm",Active,
malcombrown/2552483,"Brown, Malcom",Active,
