Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Punts,Gross Punting Yards,Net Punting Yards,Longest Punt,Gross Punting Average,Net Punting Average,Punts Blocked,Out of Bounds Punts,Downed Punts,Punts Inside 20 Yard Line,Touchbacks,Fair Catches,Punts Returned,Yards Returned on Punts,TDs Returned on Punt
ryanallen/2539640,"Allen, Ryan",P,2019,Preseason,1,08/08,Away,DET,W,31 to 3,1,0,3,118,111,56,39.3,37.0,0,1,0,1,0,1,1,7,0
ryanallen/2539640,"Allen, Ryan",P,2019,Preseason,2,08/17,Away,TEN,W,22 to 17,1,0,2,101,101,57,50.5,50.5,0,1,1,1,0,0,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2018,Preseason,1,08/09,Home,WAS,W,26 to 17,1,0,6,295,238,57,49.2,39.7,0,1,0,2,0,0,5,57,0
ryanallen/2539640,"Allen, Ryan",P,2018,Preseason,2,08/16,Home,PHI,W,37 to 20,1,0,7,341,312,58,48.7,44.6,0,0,0,2,0,1,6,29,0
ryanallen/2539640,"Allen, Ryan",P,2018,Preseason,3,08/24,Away,CAR,L,14 to 25,1,0,3,142,101,55,47.3,33.7,0,0,0,0,0,0,3,41,0
ryanallen/2539640,"Allen, Ryan",P,2018,Preseason,4,08/30,Away,NYG,W,17 to 12,1,0,6,297,279,60,49.5,46.5,0,2,0,2,0,1,3,18,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,1,09/09,Home,HOU,W,27 to 20,1,0,6,281,261,55,46.8,43.5,0,0,3,2,0,1,2,20,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,2,09/16,Away,JAX,L,20 to 31,1,0,4,222,181,59,55.5,45.3,0,0,0,1,1,1,2,21,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,3,09/23,Away,DET,L,10 to 26,1,0,5,217,189,51,43.4,37.8,0,1,1,1,0,0,3,28,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,4,09/30,Home,MIA,W,38 to 7,1,0,2,80,57,44,40.0,28.5,0,0,0,0,0,0,2,23,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,5,10/04,Home,IND,W,38 to 24,1,0,4,193,155,59,48.3,38.8,0,1,0,1,0,1,2,38,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,6,10/14,Home,KC,W,43 to 40,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,7,10/21,Away,CHI,W,38 to 31,1,0,4,171,134,53,42.8,33.5,0,2,0,0,1,0,1,17,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,8,10/29,Away,BUF,W,25 to 6,1,0,4,148,115,55,37.0,28.8,0,1,1,0,0,0,2,33,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,9,11/04,Home,GB,W,31 to 17,1,0,3,149,149,53,49.7,49.7,0,2,1,2,0,0,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,10,11/11,Away,TEN,L,10 to 34,1,0,6,298,236,66,49.7,39.3,0,0,1,2,1,1,3,42,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,12,11/25,Away,NYJ,W,27 to 13,1,0,4,184,163,51,46.0,40.8,0,2,0,1,1,0,1,1,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,13,12/02,Home,MIN,W,24 to 10,1,0,4,166,142,52,41.5,35.5,0,1,0,2,1,1,1,4,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,14,12/09,Away,MIA,L,33 to 34,1,0,3,142,126,49,47.3,42.0,0,0,0,1,0,0,3,16,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,15,12/16,Away,PIT,L,10 to 17,1,0,5,216,216,52,43.2,43.2,0,0,4,3,0,1,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,16,12/23,Home,BUF,W,24 to 12,1,0,6,259,247,55,43.2,41.2,0,1,3,3,0,0,2,12,0
ryanallen/2539640,"Allen, Ryan",P,2018,Regular Season,17,12/30,Home,NYJ,W,38 to 3,1,0,4,159,159,44,39.8,39.8,0,0,1,2,0,2,1,0,0
ryanallen/2539640,"Allen, Ryan",P,2018,Postseason,19,01/13,Home,LAC,W,41 to 28,1,0,4,173,133,48,43.3,33.3,0,0,1,1,2,0,1,0,0
ryanallen/2539640,"Allen, Ryan",P,2018,Postseason,20,01/20,Away,KC,W,37 to 31,1,0,2,75,86,43,37.5,43.0,0,0,0,2,0,1,1,-11,0
ryanallen/2539640,"Allen, Ryan",P,2018,Postseason,22,02/03,Away,LA,W,13 to 3,1,0,5,215,203,53,43.0,40.6,0,1,2,3,0,0,2,12,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,1,08/10,Home,JAX,L,24 to 31,1,0,3,153,105,53,51.0,35.0,0,1,0,1,0,0,2,48,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,2,08/19,Away,HOU,L,23 to 27,1,0,5,216,197,56,43.2,39.4,0,0,2,2,0,1,2,19,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,3,08/25,Away,DET,W,30 to 28,1,0,4,193,164,57,48.3,41.0,0,1,0,2,0,0,3,29,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,4,08/31,Home,NYG,L,38 to 40,1,0,3,129,111,47,43.0,37.0,0,0,0,0,0,1,2,18,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,1,09/07,Home,KC,L,27 to 42,1,0,6,242,232,54,40.3,38.7,0,2,0,2,0,0,4,10,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,2,09/17,Away,NO,W,36 to 20,1,0,3,111,95,57,37.0,31.7,0,1,1,1,0,0,1,16,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,3,09/24,Home,HOU,W,36 to 33,1,0,6,272,232,60,45.3,38.7,0,0,1,3,1,1,3,20,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,4,10/01,Home,CAR,L,30 to 33,1,0,3,135,110,49,45.0,36.7,0,0,1,0,0,0,2,25,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,5,10/05,Away,TB,W,19 to 14,1,0,4,188,159,55,47.0,39.8,0,0,1,1,0,0,3,29,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,6,10/15,Away,NYJ,W,24 to 17,1,0,4,160,162,48,40.0,40.5,0,0,1,1,0,1,2,-2,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,7,10/22,Home,ATL,W,23 to 7,1,0,2,100,80,57,50.0,40.0,0,0,0,0,1,1,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,8,10/29,Home,LAC,W,21 to 13,1,0,3,130,138,57,43.3,46.0,0,0,1,3,0,1,1,-8,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,10,11/12,Away,DEN,W,41 to 16,1,0,1,43,43,43,43.0,43.0,0,0,0,0,0,0,1,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,11,11/19,Away,OAK,W,33 to 8,1,0,2,95,95,51,47.5,47.5,0,1,0,2,0,1,0,0,0
